Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,A&M Lever,Evidence Strength,Evidence (Verbatim),Source Document,Line Reference
1,"CEO HAD Vacancy — 16+ Months Without Leadership","Managing Director HAD resigned Oct 2024; 400+ CVs reviewed with no replacement identified",structural_risk,Oct 2024-present,Critical,"Core revenue division operating without dedicated CEO for 16+ months creates strategic drift and execution vacuum across all HAD initiatives",Workforce,STRONG,"""Mr. Raj Shankar Ray resigned from the post of Managing Director – HAD Business w.e.f. 12th October, 2024"" | ""we have interviewed a number of people. And we have still not zeroed in on someone... I am not able to find someone who has complete 360-degree knowledge"" | ""400 CVs reviewed, CEO search ongoing""","Board's Report, Annual Report | Bikramjit Nag, Q2 FY25 Transcript | Q3 FY25 Transcript",Section 2/Strategic Signals — Key Risks #1
2,"Founder Passing — Governance Transition","Founder Chairman Mr. Bijon Nag passed away in 2024; first year of leadership transition under family-controlled board",structural_risk,2024,Critical,"Founder-dependent organization navigating first-ever succession creates governance uncertainty compounded by CEO HAD vacancy",Workforce,STRONG,"""The first year without our Founder Chairman, Mr. Bijon Nag, has been difficult at a personal level for everyone in IFB""","Chairman's Message, Annual Report",Section 2
3,"Import Dependency — 1/3 Raw Materials Imported","One-third of raw materials imported; critical components (compressors, copper tubes, electronic parts, inverter drives) sourced from overseas suppliers",structural_risk,Ongoing,Critical,"Structural exposure to FX volatility and supply chain disruption with no near-term path to localization for critical components like compressors",Procurement/Sourcing,STRONG,"""we are importing roughly one third of our raw materials"" | ""Key components used in the manufacture of the division critical products — such as compressors, copper tubes, electronic parts, and inverter drives — are sourced from overseas suppliers""","Investor Q2 FY25 Transcript | MD&A, Annual Report",Section 7/Strategic Signals — Key Risks #3
4,"A&M Active Mandate — Rs 200 Cr Cost Reduction","Alvarez & Marsal engaged for 18-month material cost reduction program; Rs 35 Cr realized in 9M FY26",structural_risk,FY25-FY27,Critical,"Active turnaround consulting mandate signals management acknowledgment of deep structural cost issues requiring external intervention",Procurement/Sourcing,STRONG,"""Alvarez & Marsal has been given the mandate to reduce material cost — work began in February, 2025 — our team is working with them on various ideas for cost down with an expected savings of more than Rs 200 Crores over 18 months period"" | ""A&M: Rs 35 Cr realized YTD, Rs 44 Cr expected Q4""","Chairman's Message, Annual Report | Q3 FY26 Investor Presentation",Section 2/Engagement Thesis
5,"Persistent Margin Underdelivery — Double-Digit EBITDA Never Achieved","PBDIT margins remain single-digit (6.52% FY25) despite repeated management commitments to reach double digits over 3+ years",negative,FY23-FY26,Critical,"Chronic inability to deliver on margin guidance over 3+ years indicates structural cost/pricing issues not addressable by incremental measures",Operations/Efficiency,STRONG,"""our intent is to get to double-digit margin fast, and we are still not there"" | ""We are acutely aware that we not hit the required margins, neither have we done as well as we should do in terms of revenue"" | PBDIT 6.52% FY25, 5.53% FY24","Bikramjit Nag, Q1 FY25 Transcript | Bikramjit Nag, Q2 FY25 Transcript",Section 5a/Strategic Signals — Key Risks #2
6,"Gross Margin Compression — 43% to 38-40%","Gross margins declined ~500bps from 43% to 38% over two years driven by product mix shift toward lower-margin AC and refrigerator categories",negative,FY24-FY26,Critical,"Severe margin erosion at the gross level indicates pricing power loss and input cost pass-through failure; product mix dilution from category expansion",Pricing/Commercial,STRONG,"""if I were to look at your gross margin from 43%, now we are at about 38-odd percent, 43%, 40% and now 38%"" | ""in the appliance division, year-on-year, H1 last year versus this year, there is a 2% reduction in the gross margin""","Shreyansh Jain, Q1 FY25 Transcript | Kartik Muchandi, Q2 FY25 Transcript",Section 6a
7,"Motor Division Losses Expanding","Motor division revenue declined 18% to Rs 101.90 Cr with Rs 5.75 Cr PBDIT loss due to BLDC software delays and customer transition from universal to BLDC motors",negative,FY25,High,"Dedicated division consuming capital while contracting; software dependency creating compounding execution delays in technology transition",Manufacturing Footprint,STRONG,"""Revenue from operations for the year was Rs 101.90 cr which is a decrease of 18% from last year"" | ""The division has incurred losses of Rs 5.75 crores at the PBDIT level"" | ""due to the unavailability of motor drive software for field trials""","MD&A, Annual Report",Section 3/Motor Division
8,"Washer Execution Failure — Rs 70 Cr Lost Sales in Q2 FY25","Complete model changeover in Q2 FY25 caused Rs 70 Cr lost sales in core washer category; BOM cost target missed by 2 months at launch",negative,Q2 FY25,High,"Execution failure in flagship highest-margin category reveals operational discipline gaps in new product introduction and BOM management",Operations/Efficiency,STRONG,"""during this changeover we have lost substantial sales. If I were to quantify, we have lost Rs. 70 crores of sales in Quarter 2 because of this changeover"" | ""new model, the cost down was two months delayed. The BOM cost was not achieved in the models when it was launched""","Kartik Muchandi, Q2 FY25 Transcript | Bikramjit Nag, Q2 FY25 Transcript",Section 4/Section 8
9,"AC Business Viability Questioned — Exit Ultimatum","Chairman issued exit ultimatum for AC business if 10% market share not achieved; -5% degrowth YTD FY26 after first-ever EBITDA positive in Q1 FY25",negative,Q3 FY26,High,"Business viability under explicit board-level scrutiny with exit threat; historical losses and current degrowth suggest structural uncompetitiveness",Product Portfolio,STRONG,"""if we don't get 10% market share, let's exit ACs"" | AC -5% degrowth YTD FY26 | ""The losses in this segment have been significant during FY 2021-22 to FY 2023-24. The AC business reported a profit at PBDIT level for the first time in the year 2024-25""","Q3 FY26 Transcript | MD&A, Annual Report",Section 8/Section 3
10,"A&P Spend Inefficiency — 6% vs Competitor <1%","Advertising spend 6% of sales (Rs 1,500 Cr on Rs 3,500 Cr appliance topline) vs competitor <1% on Rs 8,000 Cr topline; management acknowledges ROI not achieved",negative,FY24-FY25,High,"Gross capital misallocation on A&P with management-acknowledged zero ROI; 6x spend intensity vs peers indicates broken go-to-market model",SG&A & Overheads,STRONG,"""we spend about 6% of our sales on A&P... INR1,500-odd crores on A&P for a INR3,500 crores top line, whereas the other guys have spent INR500 crores and on a size of INR8,000 crores of top line"" | ""have we been able to get the ROIs or the returns that we should get, currently, the answer is no""","Shreyansh Jain, Q1 FY25 Transcript | Rajshankar Ray, Q1 FY25 Transcript",Section 5c/Section 6b
